Летописец до 7031 г., содержащий Повесть временных лет|Собр. Черткова (Библиотеки графа Пушкина № 623, старый шифр) |2о, 325 л. Кончается 7031 г. окт. 26. Л. 1 - Повести временных лет от Нао (!) и его сынов (на обр. переп.: Комисара Крекшина. (-нач.: И яся востокъ Симови). Л. 15 об. -(начало) летописца русския земли в лето 6362 (Бысть язык словенеск). Л. 42 - Речь филос||
Летописный сборник и хождение Зосимы|ГИМ, собр. П. И. Щукина 1171|рубеж XVI-XVII вв., 4о, I+188 лл., скоропись. Начала рукописи не достает. л. 165-168 - из другой рукописи. Текст начинается с л. 1  со слов: "Чего хощете дамы ти, и заповеда Олег воем своим дати на две тысящи кораблеи…" (см. Повесть временных лет под 907 ||Рукописный каталог
Софийская летопись с продолжением до 1444 г.|РНБ, F.IV.223|начало XVIII века, 207 л., скоропись. Из Архангельской библиотеки. Несторова (Софийская) Летопись с продолжателями по 6952 (1444) год.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.   С. 715
Временник (летописец) Российский до 1495 г.|РГБ, Музейное собр. № 2502|Сборник исторический, XVIII в., 4о, I и 583 л. Текст начинается Повестью Временных лет, завершается 7003 (1495) годом.|Книга, глаголемая Временник, сиречь летописец Российский, от него же времени начат прозыватися Русская земля владеющие ею. Повесть временных лет, откуду пошла русская земля |Каталог Муз. Сб. на листках
Русский летописец|РГБ, собр. Беляева № 7|конец XVIII в., 2о, на 123 л., скоропись. Начинаеся баснословными сказаниями о Словене, Руссе, Гостомысле, и проч.; оканчивается описанием Киевских событий 1679 г. Не ранее конца XVII в. был составлен и первоначальный оригинал настоящего летописца, потому||Викторов А.Е. Собрание рукописей И.Д. Беляева. М., 1881. С. 6. № 7 (1513).
Летописец русской земли до 1418 г.|F.I.211|Начало XVI в., 267 л., полуустав в два столбца. Содержит Летопись Нестора с продолжением 6926 (1418) год||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 21
Александро-Невская летопись|СПбДА № 298|XVII в., 2о, 578 л., скоропись. С 5 рисунками; первые два листа и последние 4 - чистые; на первом чистом листе находится надпись: "Летописец Российский Александро-Невской библиотеки" (последние два слова повторяются на 3 и 4листах), а на обор. - 1602 год;||Родосский А. С. Описание 432 рукописей, принадлежащих Санкт-Петербургской духовной Академии. СПб., 1894. С. 294-296.
Симон (поп), Книга летописец Киевский и Владимирский|ГИМ, собр. А. Д. Черткова № I 5/51|XVI в., 2о, 347 л. (по инвентарю: "Симон (поп) книга летописецкиевский и владимирский I 5/51"). На корешке надпись: "Летописец архимандрита Иакова". Ниже: "Графа Пушкина собор во Флоренции". Ошибка названия выясняется из надписи на обороте переплета: "Лет|Книга летописец киевский и владимирский и московский всех русских князеи от лета 6360-го и о родстве литовских князей|
Летописец русский до царя Михаила Федоровича|РГБ, собр. Тихонравова № 557|XVII в., 8о, 248 лл., скоропись. Составлен по Начальной летописи и Степенной книге. Без начала. ||Георгиевский Г.П. Императорский Московский и Румянцевский Музей. Собрание H.С. Тихонравова. I. Рукописи. М., 1913. С. 99.
Летописец|РГБ, Музейное собр. 2524|Сборник, первой половины XVII в., 4о, 323 л. Летописец без  начала||
Летопись|РГБ, собр. МДА № 425/935|XVIII в., 4о||
Летописец Русский|РНБ, F.XVII.14|По листам 1-2 запись: "Сия Кроника иеромонаха Варлаама Еклесиарха святия обители манастира печерского". Текст расположен на л. 1-275.|С Богом починаем летописец, яже о нашом Российском народе откоего колена издрасте и како и когда в сия страны вселися и чесо ради Русю наречеся|
Летописец русский от начала Руси до взятия Казани|РГБ, собр. Тихонравова № 637|начало XVII в., 2о, 301 л., скоропись||Георгиевский Г.П. Императорский Московский и Румянцевский Музей. Собрание H.С. Тихонравова. I. Рукописи. М., 1913. С. 110.
Русский летописец с 7092 по 7138 г.||Скоропись XVII в., 4о, около 400 листов. Рукопись принадлежала Досифею, игумену Сийскому. Разделен на 429 глав. Глава последняя: о рождени царевны Анны Михаиловны. - В конце: Ответы Паисия Газского на 30 вопросов Симеона Стрешнева и Челобитная Алексия, еп| |Викторов А. Е. Описи рукописных собраний в книгохранилищах Северной России. Издание Археографической комиссии. СПб., 1890. С. 84. 
Русский летописец с древнейшего времени до единодержавия Петра великого|РГБ, собр. Д. В. Пискарева № 179|начала XVIII в., 2о, 505 л., полуустав. Царствование ц. Феодора Алексеевича и начало царствования Петра Великого рассказаны кратко (на 2-х лл.). Затем другими почерками позднейшего времени приписаны краткие заметки о событиях последующих. В конце (л. 500-||Викторов А. Е. Каталог славяно-русских рукописей, приобретенных московским публичным и Румянцевским музеем в 1868 г. после Д. В. Пискарева. М., 1871.  С. 48. № 179
Русский летописец от начала Русской земли до восшествия на престол царя Алексея Михайловича|РГБ, собр. Д. В. Пискарева № 176|первая половина XVII в., 4о, 722 л., скоропись. Писан скоро по восшествии на престол ц. Михаила Феодоровича; потому что следующий далее, краткий перечень событий царствования ц. Алексея Михайловича (на 2-х л.) очевидно приписан после, на оставленных нароч||Викторов А. Е. Каталог славяно-русских рукописей, приобретенных московским публичным и Румянцевским музеем в 1868 г. после Д. В. Пискарева. М., 1871.  С. 47. № 176
Русский летописец по Нестору, оканчивающийся рассказом о убиении Бориса и Глеба|РГБ, собр. Д. В. Пискарева № 175|XVIII в. (время Петра I), 4о, 90 л. Из напечатанных текстов Нестора более подходит к летописи Воскресенской, но сокращенней ее. В начале исчисление Русских велики князей.||Викторов А. Е. Каталог славяно-русских рукописей, приобретенных московским публичным и Румянцевским музеем в 1868 г. после Д. В. Пискарева. М., 1871.  С. 45-46. № 175.
Русский летописец до 1659 г.|Московский Публичный музей № 620|Исторический сборник, первая четверть XVIII стол., 4о, 363 л., скоропись. Текст начинается на л. 1. Русский летописец, сначала подробный (особенно о Словене, Руссе, Гостомысле и проч.), а потом, за исключением нескольких эпизодов (наприм. О бармах Мономах||Викторов А. Е. Каталог славяно-русских рукописей, приобретенных московским публичным и Румянцевским музеем в 1868 г. после Д. В. Пискарева. М., 1871.  С. 51. № 185.
Летописец русский||XVI в., 4о. Приобретена Московским Историческим музеем в 1911 г. С заставкой нововизантийского стиля, с вторжением мотивов плетения.||Отчет ГИМ. С. 24.
Русский летописец по 1589 г. |РГБ, собр. Беляева № 9|Сборник исторический, XVIII в. (эпоха Петра I), 2о, 217 л., скоропись. До 1212 года следует почти исклчительно и буквально Киевскому Синопсису, а далее пользуется и другими источниками, как то: летописями и разными сказаниями, в том числе, повестью об ико||Викторов А.Е. Собрание рукописей И.Д. Беляева. М., 1881. С. 7. № 9 (1515)
Летописец русской земли|ГИМ, собр. А. С. Уварова № 1776 (206)|Сборник, XVI в., 8о, 460 л., полуустав из отрывков разных почерков. Текст начинается с л. 263. Нач.: "В лето 6000 приидоша Русь, Словени, Чюдь, Лопь, Кривичи к Варягом, и испросиша собе у них властителей". Оконч. Сказанием о убиении кн. Андрея Боголюбског|Летописец Русския земля|Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 4. М., 1894. С. 25. № 1776.
Летописец русский|РНБ, собр. А. А. Титова № 2975|XVIII в., 2о, 375 л., скоропись.||Титов А. А. Охранный каталог славяно-русских рукописей А. А. Титова. Вып. ?.  С. 28
Летописец русский с родословием князей|РНБ, собр. А. А. Титова № 2618|XVIII в., 2о, 516 л., скоропись.||Титов А. А. Охранный каталог славяно-русских рукописей А. А. Титова. Вып. ?. С. 112
Летописец Русский Ферапонтова монастыря, содержащий происшествия с 1480 по 1541 год|РГБ, собр. Н. П. Румянцева 256|Списан для графа Н. П. (Румянцева - А.Ж.) на 118 л.||Востоков А. Х. Описание русских и словенских рукописей Румянцевского музеума. СПб., 1842. С. 361
Летописец русский с 1388 по 1558 гг.|РГБ, собр. Н. П. Румянцева № 255|XVI в., 859 л., скоропись разных почерков.||Востоков А. Х. Описание русских и словенских рукописей Румянцевского музеума. СПб., 1842. С. 359
Летопись русская|собр. Григоровича № 28 (54)|XVIII в., получена от П. Г. Осокина; неполная, 198 л. Текст начинается на л. 1. Заканчивается царствованием Михаила Федоровича.|Книга глаголемая летописец великия земли Россииския: великаго словенскаго языка откуду и в кои лета начаша быти великия князи и цари и когда крещение прият земля Россииская|Викторов А. Е. Собрание рукописей В. И. Григоровича. М., 1879. С. 96. № 28 (54).
Русский летописец|F.IV.726|первая половина XVII века, 2о, 801 лист, скоропись. По листам 88-94, внизу, идет следующая скорописная запись XVII века: "Книга Ондрея Ивановича Загрязского, а преж сего была и ваших родителей Загрязских". На листе, приклеенном к оборотной стороне верхней||Бычков И. А. Каталог собрания рукописей Ф. И. Буслаева, ныне принадлежащих императорской Публичной Библиотеке. СПб., 1897. С. 221-223
Летописец русский|РГБ, собр. В. М. Ундольского № 755 (?)|XVII в., 4о, 170 л., тщательная скоропись. Летописец русский, сначала подробный, преимущественно по Степенной книге, а потом краткий, продолженный до 1648 г.||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 21
Русский летописец |РГБ, собр. И. Д. Беляева № 6 (1512)|первая половина XVII в., 4о, 629 л., скоропись. Русский летописец с разными приложениями в начале и конце. Л. 2. Списки: русских иерархий, всероссийских митрополитов, новгородских архиепископов,епископов: ростовских, коломенских, тверских и т.д. Список ми||Викторов А.Е. Собрание рукописей И.Д. Беляева. М., 1881. С. 5.
Летописец русский|РНБ, Q.IV.383|Полуустав XVII в. (за исключением двух листов, первого и последнего, писанных полууставом и скорописью XVIII века), в 4, 131 л. в XVIII-м же веке ей дано следующее заглавие (см. л. 1): "Гистория, описующая о начале Розисскаго государства и о различных вал|Повесть о древних летех, откуду пошла Руская земля, и кто в ней первее нача княжити, и откуду Руская земля прияла себе начало|Отчет Императорской публичной библиотеки за 1897 г. С. 141.
Летопись русская|ГИМ, собр. А. С. Уварова № 1383 (248). (231)|начало XVI в., 2о, 316 л., полуустав. ||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. С. 74
Летопись русская|ГИМ, собр. А. С. Уварова № 1385 (188)|XVI в., 8о, 525 л., полуустав.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. С. 75
Летопись Русская|ГИМ, собр. А. С. Уварова № 1384 (567)(232)|XVI в., 2о, 431 л., скоропись.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. C. 74
Летописец Русский||XVIII в., 2о, 220 л., скоропись. Выписки из летописей, в начале приправленные вымыслами, с л. 103 почти целиком совпадают с так называемый Новым Летописцем (Никон. Летописи. Ч. VIII) с прибавлениями до 7160 (1652) года.|Книга, глаголемая Летописец великия земли Российския славенского языка, отколе и в кои леты начаша быти великие князи и цари и когда крещение прият Российская земля|Общ. Ист. № 152. С. 47; Иванов. С. 52. № 2.
Летописец Русский||XVIII в. (1756 г.), 2о, 206 л. Выписки из летописей, в начале приправленные вымыслами, с л. 103 почти целиком совпадают с так называемый Новым Летописцем (Никоновской Летописи. Ч. VIII) с прибавлениями до 7160 (1652) г.||Общ. Ист. № 311. С. 137.
Летописец русский (временник)|ГИМ, собр. А. С. Уварова № 1393 (616)|XVIII в., 2о, 313 л., скоропись. Русские события доведены до 1233 года.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. С. 82.
Русский летописец от начала Русской земли до1700 г.|РГАДА, собр. МГАМИД № 358|XVIII в., 2о, скоропись. Текст на лл. 654-1256. В начале родословная Сорокоумовских.||
Древний русский летописец||XVII-XVIII в., 2о, 4 л., мелкая скоропись, в бумажной обложке. Летописец начинается историей расселения детей Ноевых; затем (об. л. 1) приводится грамота Александра Македонского "русским князьям владельцам от моря Варяжского до моря Хвалынского"; со 2 лис||Родосский А. С. Описание 432 рукописей, принадлежащих Санкт-Петербургской духовной Академии. СПб., 1894. С. 296
Летописец Русский||кон. XVII в.,  2о, 560 л., скоропись. Софийский временник или смешанный Новгородский летописец, продолжен до 7182 (1674) года; с половины XVI века события записаны очень кратко, преимущественно Новгородские.|Летописец Руской и Киевской. |Общ. Ист. № 127. С. 47.
Летописец русский до Михаила Федоровича|ГИМ, собр. Черткова I 1/18|||Инвентарь Чертковской библиотеки
Летопись русская|Корлевская Парижская библиотека|XVI в., 1о, 509 л., полуустав. Вторая часть Воскресенской летописи.||Строев С. Описание памятников славяно-русской литературы, хранящихся в публичных библиотеках Германии и Франции. М., 1841. № 37. С. 79.
Русский летописец до Димитрия Донского|РГБ, собр. В. М. Ундольского № 762|Летописный сборник , нач. XVII в., 4о, 72 л.||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 48
Летопись русская|ГИМ, собр. А. С. Уварова № 1396 (542)(742)|XVIII в., 2о, скоропись, 177 л.||Уваров, III, Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894.
Летописец Русский|ГИМ, собр. А. С. Уварова № 1399 (2)|XVIII в., 2о, 184 л., скоропись.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. С. 85
Летописец русский|ГИМ, собр. А. С. Уварова № 1400 (33)|XVIII в., 2о, скоропись, 687 л.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. C. 86
Летописец от 72-х язык|РГБ, собр. Н. П. Румянцева № 253|XVII в., 4о, 71 л., полуустав в два столбца. Доведен до 1471 года и есть собственно Парафразис Нестора и его продолжателей, с переменою, по большей части, древнего языка на новый XVIII в.|Летописец русский от седмидесяти и дву языках и о размешении оных язык по всей земли дерзости их ради столпотворения и о разрушении оного столпа: такоже о царех и о князех россииских: и о сотворении ими градов и о протчем |Востоков А. Х. Описание русских и словенских рукописей Румянцевского музеума. СПб., 1842. С. 357.
Свиток с краткими рускими летописными заметками|РНБ, F.IV.672|посл. четв. XVII в., скоропись. Новых сведений эти заметки не сообщают, но самое сущетвование свитка с летописными заметками является довольно любопытным. Всех летописных заметок в свиток занесено 34; первая летописная запись относится к 6745 (1237) году.||Отчет Императорской публичной библиотеки за 1885 год, С. 76
Опись летописцам, из которых сочинялись исторические выписки для ея императорского Величества|БАН, 26.5.131|2о, 2 л., писано рукой Х. А. Чеботарева. В конце приписка: "Все оные летописцы возвращены в контору святей его правительствующего Синода по ее требвоанию апреля 5 1788 года". Перечислено 11 летописей Синодальной и 14 типографской библиотек. Об отношении э||Изд.: Пыпин А. Н. Сочинения Императрицы Екатерины II. Т. XI. СПб., 1906. С. 469-471. Срезневский В. И. Сведения. С. 40-42.
Летописец отначала Русской земли до 1454 г.|РГБ, собр. В. М. Ундольского № 757|XVII в., 4о, 336 л., скоропись.||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 21.
Летопись русская|ГИМ, собр. А. С. Уварова № 1390 (591)(236)|кон. XVII века, 4о, 210 л., скоропись.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. № 1390 (591). (236) С. 81
Летопись русская|ГИМ, собр. А. С. Уварова № 1391 (598)(233)|кон. XVII в., 2о, 591 л., скоропись крупная.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. № 1391 (568).(233), С. 81
Летопись русская|ГИМ, собр. А. С. Уварова № 1392 (569)(234)|кон. XVII в., 2о, 354 л., скоропись разная.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. № 1392 (569).(234). С. 82
Летопись русская|Уварова III, 1397 (592).(235)|Полуустав XVII века, в четверку, 450 листов||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. № 1397 (592).(235). С. 79
Летописец Руский|ГИМ, собр. А. С. Уварова № 1388 (31)|XVII в., 2о, 83 л., мелкая скоропись в два столбца. Русские события доведены до 1612 года. Начальных и конечных листов не достает.||Леонид (Кавелин). Систематическое описание славяно-российских рукописей собрания А. С. Уварова. Т. 3. М., 1894. 1388 (31). С. 79
Летописец русский|ЯАД-№185-172|Сборник, кон. XVII в., 4о, 284 л. Начало на л. 230: "В лето 6367. Имаху дань варязи из замория на чюди, на словявенех и на мери, и на всех кривичех и козары, имаху на полянях и на северянех".||
Летописец и законы из св. Писания||XVIII в., 4о, 302 л., скоропись.||Титов А. А. Рукописи преосвященного Амфилохия, епископа Угличского. М., 1892. С. 11
Софийская I летопись младшего извода (Бальзеровский список)|собр. Археографической комисси № 10|кон. XV в., 2о, 345 л., полуустав в 2 колонны. Рукопись приобретена покупкой для археографической Комиссии от г. Бальзера. Содержит в себе Софийскую летопись, продолюающуюся до 1471, а с приписками до 1495 г. С 319 листа следует приплетенная тетрадь, писа||Барсуков Н. П. Рукописи Археографической комиссии. 1882. С. 10-11.
Софийская летопись с продолжением до 7026 (1518) г. |РНБ, Q.XVII.62|Полуустав, переходящий в скоропись разных почерков, середина XVI в.; 379 л. Из Архангельской библиотеки. Несторова (Софийская летопись) с продолжателями по 7026 (1518) год. Начального листа не достает.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. С. 244.
Книга, именуемая Летописец Библийной (!) и Всероссийский вкратце|собр. Тверского музея № 53 (3137)|конец XVIII в., 2о, 43 л., с использованием киновари. Событий расположены в кругах. Последней в родословной таблице упомянута Екатерина II. Л. 41 - Столицы различных государств. Л. 42 об.-43 - Посторонние записи. ||Отчет Тв. Музея за 1884 г.; Сперанский М. Н. Описание рукописей Тверского музея. М., 1891. № 53 (3137). С. 60.
Густынская летопись|РГАДА, МГАМИД № 12 и 13|Южн-русский полуустав конца XVII в., в л., на 268 л. Употреблена была для вариантов при издании так называемой Густынской летописи. Текст завершается 1370 г. |Летописец яже о нашем Российском народе. От коего колена израсте и како в сия страны вселися и чего ради Русью наречеся|ПСРЛ. Т. 2. С. 239-351.
Летописец с 6305 г. до перенесения мощей царевича Дмитрия|РГБ, собр. И. Д. Беляева № 23 (1529)|Сборник исторический, XVIII в.,  4о, 341 л. Текст находится на л. 262-338. Нач.: "В лето 6305 году приидоша словяне из Великаго Новаграда торговати за море". |Летописец о зачале Росииской земли, откуды пойде страна Росийская и откуды взята область царства|Викторов А.Е. Собрание рукописей И.Д. Беляева. М., 1881. С. 16.
Летописец царствования Василия Иоанновича|ГИМ, собр. Черткова № I 2/41|2о||
Летописец||конец XVII в., твердый кожаный переплет. На обороте последнего листа надпись скорописью: "Сия книга принадлежит капитанше Ульяна Васильева дочере Готовцевой писана 1784 году"; на внутренней же стороне переплетенной начальной доски написано: "Из книг Ивано||[Баженов И.В]. Костромской Богоявленско-Анастасиин монастырь. [М., 1913].  С. 83-84.
Летописец от Рюрика до Ивана Васильевича|собр. Флорищевской пустыни № 149.|Конец XV или начало XVI в., 467 л., полуустав.|Летопись откуды руская область взяшася и откуды князи руские поидоша, от Рюрика князя до крещения Владимерева и до царя Ивана Васильевича|Рузский Н. В. Сведения о рукописях, содержащих в себе хождение в святую землю русского игумена Даниила в начале XII века. М., 1891. С. 33.
Летописец до кончины Петра I|Археограф. № 24.|1754 г., 2о, 160л., Поступила от проф. Аристова.|Летописец от первого славянского народа, и их владетелей, и как славяне и откуду нарицахуся сицевым именем, при нем же и великих государей Российских владения, даже до блаженныя кончины великаго государя императора Петра Алексеевича, многоразличными списа|Барсуков Н. П. Рукописи Археографической комиссии. 1882. С. 11
Летописец на основе Синопсиса и Степенной книги, два списка|РГБ, собр. В. М. Ундольского № 774, собр. В. М. Ундольского № 1110|Два списка Петровского времени, в л. (№ 774 и 1110) - первый на 315 , 2-й на 300 л.В конце последнего любопытная "История о первом Иове патриархе Московском". Летописец, составленный в 1700-1704 г., преимущественно по Синопсису Гизеля и Степенной книге. Н||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 21-22.
"Летописец всероссийский" П. Н. Крекшина|РНБ, F.IV.629|Сборник, XVIII в., 2о, скорописью разных почерков. Текст начинается с л. 1.||Отчет Императорской публичной библиотеки за 1881 г. С. 19.
Летописец|РНБ, собр. А. А. Титова № 2017|XVIII в., 4о, 140 л., скоропись. ||Титов А. А. Охранный каталог славяно-русских рукописей А. А. Титова. Вып. III. № 2017. С. 41.
Летописец|РНБ, собр. А. А. Титова № 2184|XVII в., 4о, 28 л., скоропись.||Титов А. А. Охранный каталог славяно-русских рукописей А. А. Титова. Вып. III. № 2184. С. 60.
Летописец|РНБ, собр. А. А. Титова № 2428|XVIII в., 4о, 95 л., скоропись.||Титов А. А. Охранный каталог славяно-русских рукописей А. А. Титова. Вып. III. № 2428
